text,label
ሃያል ክንድ ተገደደ ለቀቀ ሃያል ክንድ ተገደደ ምድር እንድወጡ ድርግ ,0
ማረ ጀመረ አነሳ ሩብ ሚሊዮን ተጠጋ ተማሪወችን መረቀ ,0
ዩኒቨርስቲ ማእከል ተቋቋመ መዋቅር ጀመረ ግብአት ዝግጅት ጥንቅቅ ,1
ገደው መስኮት ዱብ አልማዝ ጠረጴዛ ጣት ቤዛ አጠገብ ተቀመጠ ,0
አጠቃላይ አካላዊ ቅጣት ልጅ አስተዳደግ አሉታዊ ውጤት ተከተለ አያጠያ ቃመ ,0
አየር ነገደ ከሚያካሂዳቸው ግዙፍ ግንባታወች የካርጎ ተርሚናሉ ቀዳሚነት ጠቀሰ ,0
ዜጋ ህገመንግስታዊ የፌደራል ስርአት አወቀ ቀጠለ ስራ ሰራ ላላ ,0
ህልም መሳ እጭ ሳሳ ንድፍ ጀርባ ሴት ንድፍ እያናወጠች ,1
ጥያቄወች ህግ በሃብረት ስምምነት መልስ ተገኘ ገባ ጭብጥ ,1
መሰረት ተጨዋቾችን በመመልመል ወር ዝግጅት እቅድ ፌደሬሽን ይፋ ድርግ ,1
ሰአት መዘገበ ሁለተኛ ጣሊያናዊቷ ኗሚ ስቴላ ,0
ደጃች ሸሸ ወርቅ አለቃ አድማስ ዋና ጠንሳሾች መኮንን አደመ ተነሳ ,1
ተቃወመ ጎራ ራስ እንድያሻሽልና ጠነከረ አስተዋጽኦ ገባ ሶስት አካል ,1
ቀጠለ ጉብኝት ምህዋራችን ዩኒቨርሲቲ ኢትዮጵያ ቴክኖሎጅ ኢንስቲትዩት ,0
አስተሳሰብ መለስ ወጣት ድርግ በነበሩ ውይይት ገለጸ ቈየ ,0
እኛ ድህነት አለመ ተጋዳይነታችን አጽናና ሞከረ ,1
የጽጥታ ሃይል ገጠመ ተከላከለ ስራ ሰራ ,0
አንቀጽ ማንኛውም ሰው ማንኛውም አላማ ማህበር ደረጀ መብት ,0
ከቴሌ ካዛንችስ ብር ጣና ገበያ ብር ታሪፍ ,0
አደመ ጠየቀ ዝምታ መልስ ራስ መልስ ሰጠ ,1
አምድ ወጣት አመነ በለጠ እርግጠኛ እንድሆኑ ረዳ ,1
ከፋብሪካወቹ ውጥእ ፈሳ አካባቢ በከለ ለነዋሪወችም ጤና ጠንቅ አነሳ ,1
ሃዋሳ ከተማ መናኸሪያው ነገደ ዳር ዛፍ ቤት ,0
ቀረበ ንግር ቀነአ ነፈሰ ሰነዘረ ትችት ቀረበ ተቃውሞ ተቀባይነት አጣ ,1
ደሞክራሲያዊ ባህል ለበሰ ሃላፊነት ሰማ ዜጋ ፈራ ቀደመ ተግባሩ ,0
ገዳም ጨመረ ትምህርት ሮም ተገኘ አራ ሳንቲሲማ አሱንታ ዩኒቨርሲቲ ላቀ ,0
ቅይጥ ስርአት አፍቃሪወች መለሰ ይሄኛውን ያኛው መረጠ ፈለገ ,1
ጋን ዋጋ ከፈለ ህግ ድጋፍ እንዳለ ጠበቃ ረገጠ ,0
ምክንያት ህዝብ አገልጋይነት ነፈሰ ጠፋ መንግስት ሚድያ እንጨት እንጨት ,0
ከተማ ቻርተር መሰረት አደሰ አበባ እገዛ ነዋሪወቿ ተዳደረ ድርግ እግድ ,0
ሜታ መንደር አውራሪስ ዋልያ ልጅ ባኮኝ ዳሰ ተጐነጨ ተላለፈ አወቀ ተከተለ ,1
ይሁን ወሰነ ተማሪወች በስተቀር አዳራሽ አደመ አለባ በአል ደመቀ ,1
አምባ አናት መሃል የቴወድሮስ ዋና አረፈ ቤት እቃ ቤት እህል ጐተራወች ,1
መልካ ቀረ ስራ ተመኘ ከብዙው ህይወት ልምድ የቀነጨብነውን ቋጨ ,1
ሶስት ሰወች ንግግር ቍርጥ ራስ ተነጋገረ ቀረ ቀረረ ,1
አንተ ዘንድ ሽህ አመት አለፈ ቀን ክፍለ ሌሊት ,0
አመቱ ተሻለ ፈጸመ ኖረ መንግስት ህዳሴ ጉዞ አኳያ ቀረ ስራወች ጠቈመ ,0
አገር በአካባቢየ ጉዳይ ገባ ተብየ ተገለለ ደረሰ መብት ጥያቄ አነሳ ,0
የተቃዋሚወችን እንቅስቃሴ ቀጨጨ ቀጨጨ ጉዳይ ግልጽ አምባ ,0
ቀጠለ የስንደ ምርት ውጭ ሃገር ኤክስፖርት ድርግ ወሰነ ,0
ኪሎ ሜትር ሸፈነ ውድድር በላይ ሁለት ጾታ ተወዳዳሪወች ተሳተፈ ,0
ስድ አደግነትን ልጅ ማረ የነገወቹን ሃገር ተረካቢወች ስርአት አለበ እንድቀሩ ፈቀደ ,1
ባልደረባ ተቀመጠ ብድግ እኔ እገሌ ለአካሄደ ወጣ ,1
ነቢዩ እንባቆም እግዚአብሄር ደስ በድነታቸው አምላክ ሃሴት ድርግ ,1
ሃሳብ ታንጉት ድንገት ጠባ የአፍቅሮት ወድያው አእምሮ ሰረዘ ,0
ፊቸ ፋሎ የፊቸን በአል ባህላዊ አደባባይ ድምቀት ከበረ ስነ ስርአት ,0
ይሄ ጐላ ኖረ ተደረገ ጥረት ተናገረ ,0
ትግል መራ እድል በቃ ድርጅት ህዝብ ጎራ ነቃ ተሰለፈ ፈለገ ,1
ጃፓን ቶዮታ ኩባንያ ሃይድሮጅን ሃይብሪድ ተሰኘ መኪና መረተ ተገኘ ,0
ቅይጥ ቀለመ ህብር ፈትል ነቀሰ ለበሰ አካባቢ ውበት ኳለ ,1
ሰማ ወና ወጣ ለቀቀ ተዋናይ መድረክ ወረደ አዳራሽ በጭብጨበ ነጋ ,1
ምሳሌ እርስወ በቃ በስራወ ,0
ሃገር ተደረገ ሴዛና ወረራ ሉቡ ሻቀለ ወጣት ሴራ ግንባር ከሸፈ ,1
ደከመ አያል አካል ተሳተፈ ጠየቀ አምስተኛ አገራዊ ምርጫ ሰላም ተጠናቅቋል ,0
አይ ቀረ ያግደረደረው ለም አንድት ሴት እየተውረገረገች መሃል ገባ ,0
ተቃራኒ ቴአትር ቤት ተመለከተ ድርቅ መታ ጠቀሰ በቃ ሰላ ,0
ጸሃፊ አዳኒ ተሪሽያ ኗባኒ ዋና ምክንያት ጠቀሰ ,0
ኤርትራ ኢጣሊያ ቅኝ ግዛት ጨረፍታ ተመለከተ ,1
እማየ ወጥ ሰበቀ ረሳ አረበ ,1
ደብረወርቅ ተነሳ ቈየ ምች ራደ ምርመራ ኖረ ,1
መጽሃፍ የመጀመሪያወቹን ሶስት ምእራፍ አጠነ ካትሪን አሰበ ,0
ገረመ ቀደም ዘመን ሰወች ፎቶ ነሳ መረጠ ስልት ,1
እኛ አገር ሴት ልጅ ደመቀች የንዶዳምን ወር እሴት ልጅ ጀመረ ,1
ወረረ ፍሬህይወት ንግድ ቀላ ሰቀለ ማሃበር ተቋቋመ አደጋ ተከላከለ ተያያዘ ,1
የሰንቅሌ ስዌንስ ቆርኬወች ከሃምቤንቱ ጎሳ በተጨማሪ ዳዌ ጎሳ አባል እንድሆኑ ወሰነ ,0
ቅርብ ወዳጀ ምርጥ ቆንጆ ዘር አገር ተገኘ ጠየቀ ,0
ጀነር የአጽናፈ ገዛ ያህዌ ዘንድ አወቀ እኔ ,0
ክፍሉ እሱ በቀር ታድያ ድምጽ እንደት ቅርብ ሰማ ,0
ጐዳ ዞን ገባ ተደመመ አረንጓደ ውበት ግራ ተቀኘ አጀበ ,1
ዳሰ ተካ አትሌት ገና ክለብ ጐዳ ገጠመ ,0
ቴአትር ወጣት በመተወኔ ተደሰተ ወጣት ተመሰገነ ,0
ቀን ልክ ልክ ተባባለ ዋሉ ,0
ጤና ጥበቃ ሚኒስቴር ጉዳይ ስትራቴጅ ነደፈ በልዩ ትኩረት ሰራ ተገኘ ,0
ከተማ እኩሌታ ግዞት ዳረገ ህዝብ ቀረ ሰወች ከተማ ተወገደ ,1
እጅ ሽቦ አጥር አነሳ ጧ ድርግ ጮኸ ውል እኔ እመቤት ቸኰለ ,0
ማቲወስ ወንድ ኢትዮጵያ ካንሰር ሶሳይቲ መሰረተ ሰየመ አራት አመት ህፃን ስም ,1
መራ ኮሎኔል መንግስት ሃይለማርያም የሚጓጉለትን ስልጣን እግድ ለቀቀ ዚምባብዌ መረሹ ,0
አደለ አንገት ደፋ ድርግ ሸሸ አይን መሬት አረፈ ,1
ከአድስ አበባ ነሳ ሰአት አወቀ ስለነበር አየር አረፈ ሄጀ ተቀበለ ,0
ወለደ ክብደት ግራ ሞተ በአድስ አበባ ከተማ ክብደት ዳቦ ቆሎ አከለ ,0
ኧረ እንድያውስ ህዝብ ጥያቄ እድል ሰጠ ንጉስ አካባቢ ሃገር ,0
ሮዛ ወንዳፍራሽ ትዳር አወቀ ምንጭ ምክንያት ምንድነው ,0
ቤት ገመና ሸፈነ ስጋት ነፃ ቻለ ፈለገ ,0
ሚስተር ዊንድሶር ግብዣ በፖናማ ኤስ አምባሳደር ሬት ኢ ብሪግስ ,0
ልማታዊ ጋዜጠኝነት አቅጣጫ ልዩነት የጋዜጠኝነት ልዩነት ፈጠረ ,0
እርስ ፈጸመ ሰቀለ ሆየ የትነው ተገኘ ምልክት ጠበቀ ,1
እንጭጭ ቀረፈ ተቻለ ህፃን ሁለት አመት አእምሮ ጭምር ገጠመ ,1
ይች ልጅ ማህበረሰብ ወረሰ ሴት ወንድ አናገረ ዝም ደለበ ,1
ወድያውም አይን ባንክ ልደት ክብር ከህልፈት አይን ለገሰ ወሰነ ,1
አፄ ቴወድሮስ ጀመረ ምንሊክ ኢትዮጵያዊ ንጉስ ከፍተኛ አድናቆት ,1
ደርግ ዘመን ጋራዣቸውና ድርጅት ወረሰ ጎጃም ቀጠረ ሰራ ተገደደ ,1
አገር እብሪት በጀብደኝነት ከፈተ ጦርነት አሳፋሪ ሽንፈት ተከናንቧል ,1
መሲሃዊ መንግስት ዙፋን ውጥእ ህይወት ውሃ ከአርማጌዶን ቍርጥ ፈሳ ,1
ሰቀለ ግማድ ከፊል ኢትዮጵያ አምባ ግሸን አራ ተገኘ ,1
ለም እኔ ፈለገ ,0
እባካችሁ ኖረ መንደር ነዋሪወች ግጥም ክፉ ተመለከተ አካል ደረሰ ,0
አሰልጣኝ ጃማ ፊዚዮቴራፒስቱ ቁጥጥር ስር ዋሉ ሰአት ፍርድቤት ቀረበ ,0
ውሃ ማእከል ድርግ ዘለቀ ልማት ረገድ ስራወች ሰራ አለባቸው ,1
ከዛ ገር ተገባደደ አንበሳ አውቶብስ አስራ አምስት ሳንቲም ትኬት ቈረጠ ,0
መልካ አስተዳዳርን ሰፈነ ጀመረ ጥረት ጠነከረ ቀጠለ ውጤት ቀየረ ,1
አጅሬ ድሮ አይነት ጠባይ እኔ ማገጠ ,0
እኔ ሰማ ግግ ላመ እኔ አከከ ዘራፍ ,1
ያህዌ ምስክር መጠን ሁልጊዜም ክርስቲያናዊ አገልግሎት ትጋት ተሳተፈ ,0
አመመ አይን አይከለከል ቈየ ልማድ ከለከለ አወቀ ,0
ፋረ ኢስት ትሬድንግ አተመ ልብ ሰቀለ ልቦለድ አከፋፈለ ያለው ዩኒቲ መፃህፍት መደብር ,1
ጋሊልዮ የኮፐርኒከስን ንድፈ ሃሳብ ቀድሞ ይፋ ገባ ቈጠበ ጨረሰ ካደ ,1
አሳፋሪ ተመለከተ አካል አፋጣኝ እልባት ሰጠ ላላ ,1
ሃገር ሞከረ ተመለከተ ምላሽ ገና ቀረ ተጠረጠረ ,0
ብርሃን ህልፈተ ህይወት አወቀ ዘንድ እጅግ ደነገጠ አሳዛኝ ክስተት ,0
የጃሉድ እናት ጎጆ ደመቀ ዘንድ ወለደ ጀመረ ልጅ እንኳን አደለ ,1
እርግጠኛ ዛር ጠቀመ ቻለ ,0
መስመር ሱዳን ግብጽ ጆርዳን ሶሪያ ቱርክ ኤሌክትሪክ ሃይል ቀረበ ቻለ ,0
ልብ ለበሰ ከለከለ ቀጥተኛ መጽሃፍ ቅዱስ ህግ አወቀ ,0
ረገድ የደኢህደንን ሞከረ ገባ መረመረ ተግባር ፈተሸ ትምህርት ቀሰመ መከረ ,1
ተከተለ ትልቅ መሪወች ወረሰ አላማወች ፈረሰ አዝማሚያ ,1
ፈርኦን ግብፃዊ ዮሴፍ ድርግ ,0
ሚኒስቴር ሰራ ቤት ተከተለ እርምጃ ወሰደ እቃወች ድርጅት ቀረበ ,0
ዳዊት አባት ሞት ደረሰ ሃዘን እንድያጽናኑት አገልጋይ ሃኑን ላከ ,0
ጥንታዊ ባህል ስፖርት ገና ጨዋታ ከሳ አመት ጀመረ ረዳ ,0
ግብር ስርአት ዘመናዊ ቴክኖሎጅ ደገፈ ግብአት ሞላ መልክ ጠቀመ ,1
ከናይጀሪያና ኬንያ ወጥ ዜናወች እኛ ኢትዮጵያዊ ነቃ ደወለ ,0
ባልንጀራ ማንኛውንም ተበደረ ያዘ ድርግ ሰጠ ወሰደ ቤት ገባ ,1
ደም ለገሰ ሰው ላላ አይነት ጤና ከሰተ ራስ ልምድ ረገጠ ,1
ለቲኦክራሲያዊ ዝግጅት ገዛ ተማረ ለአድሱ ህይወት ዝግጅ እንደት ,0
ምሳሌ ኬላ ተካሄደ ፍተሻወች ሚዛናዊ ፈተሸ ፈተሸ ፍትህ ሰጠ ,1
ሩሲያ ምእራባዊ ኔቶን ቻለ ምስራቅ ጠላት እንዳለ መሰከረ ,0
ጥር ፋቀ ለበቅ ሚአዞር ሰው እንድትጠራለኝ ረሳ ,1
ነገደ ግራ ተቀኘ አሰበ ገጠመ ደረሰ ሰምበሌጥ ሁለት ሰነጠቀ አለፈ ,0
ተመለከተ ጉዳይ ጥልቅ ገባ ትችት ሰነዘረ ሞከረ ወር ናፋቂወች ,1
በአል ኤሌክትሪክ ሃይል ውሃ ፕሮጀክት ክትትል ቁጥጥር ተደረገ ,0
ዘገባ ልብ አገልጋይ ዋጠ ባህር ተመለከተ ,0
እብ ይሁን ያለው ተግሳጽ ደስታ ነጣ ድርግ ገባ ,1
እኛ ዙር ምክር ቤት ስራ ዘመን እሴት ምክር ቤት አባል ቍጥር ከፍ ,1
ስራ እጅግ ዝቅተኛ ክፍያ ተገኘ ስራ መስክ የተሰማሩ ,1
የሊኔ ጤንነት አወከ ሞቃት አየር ንብረት ዞረ ፈለገ ,1
መረጠ አካል ገባ ቃል መሰረት አየለ ነዋሪ ተገለገለ ሰራ ,0
እንደት አይነት ልጅ ለምጽ አይመስሉ መሰለ ቀረ ,1
እኛ ታድያ ግብአት ፈለገ ጽሁፍ መልእክት ህግ ተግባራዊ ድርግ ,1
ዛር አገር ተሻለ ደረጃ ገነነ ድጋፍ ድርግ ,1
ውል መሰረት ቤት ተረከበ እኛ ፈለገ መሰረት ድዛይኑን ጨረሰ ገባ ,1
ብሄራዊ ገባ ጥላቻ አሉባልታ አገር ምስጢር ጠበቀ ክፋት ነገሰ ,1
ሳምራዊ እሱ መጣ አበረ ቈየ ለመነ እሱ ሁለት ቀን ቈየ ,0
አፄ ምኒልክ ኢትዮጵያ ህክምና ተግባር ሰፋ ጀመረ ,1
ያህዌ አገልጋይ አማካኝነት ሰጠ ምክር ጥልቅ አሰበ እንደት ,1
ውጥእ ጋዜጠኛ ድርቅ ከሰተ ዞን ቅኝት ድርግ ,0
ሰጠ ምላሽ ክፍሉ አሉታ በዛ ,1
የጣሊያኑ ጦር አዛዥ ትግራይ ገባ ሰራ ተንኮል አፄ ምኒልክ ደገፈ ,1
ይሁን ጦርነት ቋጨ ህዝብ ያለም ቂም በቀል አብሮነታቸውን ቀጠለ ,1
ስውር ተደረገ ሞላ መስተንግዶ በመታዘብ ጠቀመ ሰው ስርቆት አዳራሽ ሰየመ ,1
ቀን ሌሊት ህልም አረብ ሃገር ሰራ ከበረ ወላጆቸን ሸጋ አድርጐ መጦር ,0
ጠንሳሽ የሚያስኬድ ቋጨ ,1
ንስር ክንፍ መለኮታዊ ጥበቃ ተመለከተ ተስማማ ምሳሌ ዳነ ,0
የአንድሬ ሳካሮቭ ሽልማት አሸናፊ ሽልማት ተቀበለ አሜሪካ ቦስተን ,0
ቀጠለ ደርባ ቀን ሻ ኩንታል መረተ ፋብሪካ ግንባታ ጀመረ ,0
እነኝህ አጭር ቈየ ጠና ህመም በሽታ ዳነ ,0
በተጨማሪ የህጽናዊነት ንኡስ ገጽታ ታሪክ ህዳግ እውስ ተረከ ,1
ፓንትና ጡት ያዘ እርቃን ገላ ወርቅነሽ ገጽታ በለዘ ,1
ይሄም ቸል ሰላም አንድነት ደረሰ እድገት ብልጽግና ነዳ ,0
ቅርብ ተወ ረገድ ኢህአደግ አፍሪካ ተወዳደረ ያለው ፓርቲ መሰለ ,1
ፋብሪካ ግብአት ውጭ ገባ ስራ አገር ሰራ ,1
መልካ አስተዳደር ሰፈነ ትግል ጀመረ ስራ አበለ ተሰኘ ውይ ,1
ሰነዘረ ወቀሳ አብዛኛው ኢትዮጵያዊ የፌስቡክ ደንበኛ ጥቅልል ,1
ኢየሱስ አንደኛ መቶ ዘመን ጀመረ ስብከት ስራ ስፋት ተከናወነ ,0
አልጋ ወረሰ ህይወት አቢይ ክስተት ፈጠረ አመት ,1
አእምሮ ተቃወሰ ዳነ ሰው እውን ስነ ልቦናዊ ውጥንቅጥ ገባ ማእምራን ግንዝብ ,1
አደሰ ዘመን ካራቲስት ግለሰብ ውድድር አማካኝነት ኮብልለዋል ,0
ኤጀንሲ ቀጠለ ይህንኑ ጠነከረ ትክክለኛ ህግ ቀረበ ረገጠ ,0
ሃገር እርሻ አመች ለም መሬት አየር ንብረት ውሃ እምቅ ሃብት ,1
ስም መልክ አወቀ ጀመረ አንገት ቀነጠሰ መረመረ መረጠ ,1
ተቻለ መልክ ህዳሴ ግድብ አፈረ መልክ ቻለ ,0
ቀረ ሃይማኖት አባት እንኳን ተናገረ ሃይማኖት ሃይማኖት ,0
መንታ ነገደ ሳለ አደሰ አበባ መጣ አሰበ ሰው ተገኛኘ ,0
አንተ ቤተሰብ ያህዌ መረጠ ስፍራ አመቱ አምላክ ያህዌ ,0
ኤችአይቪ ደም ተገኘ ሰወች መረመረ እራሳችውን አወቀ መቶ ,0
ሶስት አራት ጀሪካን ይዠ ውሃ ቤት መለሰ ሰአት ወሰደ ቻለ ,0
ሁላችንም ቅማል ወረሰ ሌሊት ቈሸሸ ገላ ፈነጨ ,1
መንግስት ሚድያ አንቀጽ ሰራ ወይ አለበ ,0
ትግራይ ህዝብ ሰላም ጃንሆይ አፄ ሃይለስላሴ ዘመን መንግስት ,1
መቸም ጠየቀ ቅርታ ፈጸመ ቸገረ መሰለ ,0
አመመ አለም ጋዜጣ መጽሄት ሬድዮ ቴሌቪዥን አሰበ ,0
ቀረፈ ቻለ አፋጣኝ ባለሙያ ክህሎት እንድማሩ ድርግ ,0
የተቃዋሞ ጎራ ራስ ምቤት አካል መሰረተ ህዝብ ነቃ ኖረ ,1
ታየ ያለው ሃላፊነት ተጠያቂነት ጐደለ ሰራ ፍጹም ህጋዊ ፍትሃዊ ,0
ሏላዊ ጌታ ያህዌ እናንተ እስራኤል አለቃ በዛ ,1
ቋንቋ ምናብ ለጠጠ በደለ አደገ ኰራ ጨረሰ አማርኛ ተግባባ ,1
ግል ሃሳብ ግል ንብረት ግል ህይወት ጨረሰ ጠፋ ደረሰ ,0
ተታለለ ብልሃት የማጭበርበሪያው ስልት እውቀት ተንተራሰ ቻለ ,1
ቢንያም ነገድ ቤተሰብ ቀረበ ድርግ ማጥ ቤተሰብ መረጠ ,0
አፍረትና ሰቀቀ ሳመ ጤናማ ጥር ለገሰ ንጹህ አፍ ጠረን ወሳኝነት ,1
ህገ መንግስታዊ ስርአት ሃገር ደገመ ስህተት ሰራ ,0
አባ ጫላ የካዛንችስ ልጅ ካዛንችስ ልጅ ከመሄደ አባ ጫላ ወግ አወጋ ,1
ታድያ እዛው አየነው ጉዳይ እኔ ጉዞ ባልደረቦቸን በግርምት አፍ ያዘ ,1
ተወዳዳሪወች ግብአት ልእ ተሻለ ውጤት መዘገበ ተሰራ ተገኘ ,1
ቲካድ ጃፓን አፍሪካ ህብረት አበረ መንግሰታት አስተናገደ ጉባኤ ,0
እናንተ አመጸኛ እኔ ራቀ ,0
ፊልም ቤተሰብ ቀደመ እንቅልፍ ነቃ ጨረሰ ተኛ እንስት ህይወት ,0
ታድያ ዮናስ ህዝብ ፍይዝ ሃሰተኛ ነቢይ ድርግ ተመለከተ ፈራ ,1
በአል ክርስቲያን ቤተ እምነት አምልኮ አምልኮ ገለጸ ስርአት ተከበረ ,0
ሌብነት ቴክኒክ ካነ እጅ ተቀላጥፈው ከፋ ገባ አገዘ መራ ጨበጠ ,1
መሪወቻችን ተሳሳተ መድሃኒት ሰጠ ጸለየ ,0
ቃል ረሳ ተጨነቀ ,0
ሴፍቲ ኔት ምግብ ዋስትና ፕሮግራም ወር ድጎማ ሰጠ ,1
ግልግል ዳኘ ሰየመ ዳኘ ህግ መረጠ ድንበር ካሳ ኮሚሽን ተቋቋመ ,1
ሰው ፈጸመ በደል ያህል ከባድ ቂም ያዘ ኖረ ዳነ ,0
ቀስ ግድግዳ ሰቀለ ትልቅ መስታዋት መለሰ መልክ ,1
ስራ መስክ ተሳተፈ ታዋቂነታቸው ገነነ መጣ አንዱ ,1
በእንድህ መጣ ለውጥ አገር ከድጡ ማጥ እንድሉ ጠፋ ለማ ,1
ፖለቲካ ምርጫ ቀረበ ጋለ ኑሮ ውድነት ረገብ ረገበ ተደረገ ,0
ህጋዊ ማእቀፍ ከበረ ገለጸ እሴት ቀጠለ ዜጋ ሃላፊነት ,0
ገንዘብ ሚኒስቴር ገር ከተማ ከንቲባ ሆኘ ረዳ አመት አገር ተገለገለ ,0
ጸጋ ጽጌ ፍቅር ሰላም እኔ ሞተ እኔ ሞተ ተባባለ ኖረ ,1
አለመ ሰላማዊ ነገደ እንድፈቱ ባህላዊ እርቅ ስርአት ጥንክር ቀጠለ ,1
ውሸት ተጠጋ በረዶ ጠረገ ይወስዷል ውሃወቹም ደበቀ ያጥለቀልቁታል ,0
ተሳተፈ ቀደም ቅርብ አበረ ተጓዘ እውነታ ,0
ብዙወች ጆሮ ዳባ አበሰ አምላክ ህዝብ ተቸ ቀጥታ ሰደደ ,1
ጎርፍ ቤት ገባ ቤት ቁሳቁስ በተጨማሪ ሰነድ ተበላሸ ,1
ውይይት ልምድ ልውውጥ እውቀት ሽግግር ተቋም አከለ ,1
ሰወች ገነት ምድር ዘላለም ኖረ ተስፋ ዘረጋ ,0
ይልቁንም ውድድር አመቱ ተወራ ቻለ ትልቅ ክስተት የቤጅንጉ ሻምፒዮና ,0
አሸ ትንሽ ጅን ጠብ ቤርሙጥ መጣ ጐን መለሰ ተቀመጠ ,0
ብዙወቹ ህንፃወች ደረጃ ጠበቀ ግብአት ገነባ አለፈ ይስተዋሉባቸዋል ,1
ጉባኤ ስብሰባወች ይልቅ ትልቅ ስብሰባወች ትኩረትን ከፈለ ኖረ ,0
ምነው መሬት ተነሳ ሚሊየነር ጠበቀ ጠየቀ ሰው ጠፈፈ ,0
ወደብ ረዳ ንብረት ተከማቸ መንግስት ተቋም አንዱ ትምህርት ሚኒስቴር ,1
ሙስታፋም አዛዥ አይን ተከተለ ውሸት ትንሽ አፈረ ፍርጥም ,0
መላጣ ሰውየ ባለቤት ደስ ኸኸኸኸኸኸኸኸኸኸኸ ረዘመ ሳቀ ሶፊ ,0
በብአደንና ህውሃት ቀውስ ተመለከተ ግልጽ አቋም ያዘ መሰለ ,1
ምክንያት አትሌቲክስ ኢትዮጵያ ሳንቲም ሁለት ገጽታ ገነነ ,1
ረቀቀ ውሸት ዋሸ ቻለ በስተቀር እውነት ተናገረ መራ ምርጥ ,1
ለአንደና ጨረሰ ራስ ንግር ቆመ ሃሳብ ሚኒስትር ንግግር ዞረ ,0
መድረክ ዙሪያ ግልጽ ንግር መፍትሄ አቅጣጫ ተቀመጠ አለመ ,1
ውጭ ጉዳይ ሚኒስቴር ስልክ ዶለ ኢትዮጵያ አምባሳደር ፈለገ ,0
ከተማ ደበነ ሸቀጥ ምግብ ግብይት በላይ ዋጋ ጨመረ ኮብላይ ተረፈ ,1
በትረ የሊሾውን ወለል ጐዳ ድርግ ገና ሳንቲም ሰጠ ምርቃት አቀላጠፍነው ,1
በጥንታዊቷ ካይሮ ከተማ እግር ኳስ ውጤት ነገሰ ተደረገ ትንቅንቅ ,0
ይልቁንም መንግስት ጓዳ ዝርክርክነት በዛ ተከለ እርምጃ ወሰደ ጠቀመ ,0
ደገፈ ቡድን ተቃረነ ተገኘ ሽንጥ ገተረ ተከራከረ የሚያህላቸው ለም ,0
ወር ወታደር እሽግ ጣሳ ወጥ አደለ ደነበረ ትዝ ,1
አመመ ጨረታ ቅይጥ አገልግሎት ውጥእ ኖረ ሰራ ,1
ቤት ውጭ አየሁ አወቀ ,0
ቤተመቅደስ አምድ ባለአራት ማእዘን ቅርጽ ሰቀለ ቀረጸ ,1
ህብረተሰብ ሳበ በቃ ረዳ ደረጀ ዘገባወችን ተሰራጨ ረገድ ሰራ ጠበቀ ,1
